kdu,harus
kec,kecamatan
kejurnas,kejuaraannasional
kekeuh,keraskepala
kel,kelurahan
kemaren,kemarin
kepengen,mau
kepingin,mau
kepsek,kepalasekolah
kesbang,kesatuanbangsa
kesra,kesejahteraanrakyat
ketrima,diterima
kgiatan,kegiatan
kibul,bohong
kimpoi,kawin
kl,kalo
klianz,kalian
kloter,kelompokterbang
klw,kalau
km,kilometer
kmps,kampus
kmrn,kemarin
knal,kenal
knp,kenapa
kodya,kotamadya
komdis,komisidisiplin
komsov,komunissovyet
kongkow,kumpulbarengteman-teman
kopdar,kopidarat
korup,korupsi
kpn,kapan
krenz,keren
krm,kirim
kt,kita
ktmu,ketemu
ktr,kantor
kuper,kurangpergaulan
kw,imitasi
la,lah
lam,salam
lamp,lampiran
lanud,landasanudara
latgab,latihangabungan
lebay,berlebihan
leh,boleh
lelet,lambat
lemot,lambat
lgi,lagi
lgsg,langsung
liat,lihat
litbang,penelitiandanpengembangan
lmyn,lumayan
lo,kamu
loe,kamu
lola,lambatberfikir
louph,cinta
low,kalau
lp,lupa
luber,"langsung,umum,bebas,danrahasia"
luchuw,lucu
lum,belum
luthu,lucu
lwn,lawan
maacih,terimakasih
mabal,bolos
macem,macam
macih,masih
maem,makan
magabut,makangajibuta
maho,homo
makjang,kaget
maksain,memaksa
malem,malam
mam,makan
maneh,kamu
maniez,manis
mao,mau
masukin,masukkan
melu,ikut
mepet,dekatsekali
mgu,minggu
migas,minyakdangasbumi
mikol,minumanberalkohol
miras,minumankeras
mlah,malah
mngkn,mungkin
mo,mau
mokad,mati
moso,masa
mpe,sampai
msk,masuk
mslh,masalah
mt,makanteman
mubes,musyawarahbesar
mulu,terus
mumpung,selagi
munas,musyawarahnasional
muntaber,muntahdanberak
musti,mesti
muupz,maaf
nw,nowwatching
n,dan
nanam,menanam
nanya,tanya
napa,kenapa
napi,narapidana
napza,"narkotika,alkohol,psikotropika,danzatadiktif"
narkoba,"narkotika,psikotropika,danobatterlarang"
nasgor,nasigoreng
nda,tidak
ndiri,sendiri
ne,ini
nekolin,neokolonialisme
nembak,menyatakancinta
ngabuburit,menungguberbukapuasa
ngaku,mengaku
ngambil,mengambil
nganggur,tidakpunyapekerjaan
ngapah,kenapa
ngaret,terlambat
ngasih,memberikan
ngebandel,berbuatbandel
ngegosip,bergosip
ngeklaim,mengklaim
ngeksis,menjadieksis
ngeles,berkilah
ngelidur,menggigau
ngerampok,merampok
ngga,tidak
ngibul,berbohong
ngiler,mau
ngiri,iri
ngisiin,mengisikan
ngmng,bicara
ngomong,bicara
ngubek2,mencari-cari
ngurus,mengurus
nie,ini
nih,ini
niyh,nih
nmr,nomor
nntn,nonton
nobar,nontonbareng
np,nowplaying
ntar,nanti
ntn,nonton
numpuk,bertumpuk
nutupin,menutupi
nyari,mencari
nyekar,menyekar
nyicil,mencicil
nyoblos,mencoblos
nyokap,ibu
ogah,tidakmau
ol,online
ongkir,ongkoskirim
oot,outoftopic
org2,orang-orang
ortu,orangtua
otda,otonomidaerah
pacal,pacar
pake,pakai
pala,kepala
pansus,panitiakhusus
parpol,partaipolitik
pasutri,pasangansuamiistri
pd,pada
pede,percayadiri
pelatnas,pemusatanlatihannasional
pemda,pemerintahdaerah
pemkot,pemerintahkota
pemred,pemimpinredaksi
penjas,pendidikanjasmani
perda,peraturandaerah
perhatiin,perhatikan
pesenan,pesanan
pgang,pegang
pi,tapi
pilkada,pemilihankepaladaerah
pisan,sangat
pk,penjahatkelamin
plg,paling
pmrnth,pemerintah
polantas,polisilalulintas
ponpes,pondokpesantren
pp,pulangpergi
prg,pergi
prnh,pernah
psen,pesan
pst,pasti
pswt,pesawat
pw,posisinyaman
qmu,kamu
rakor,rapatkoordinasi
ranmor,kendaraanbermotor
re,reply
ref,referensi
rehab,rehabilitasi
rempong,sulit
repp,balas
restik,resersenarkotika
rhs,rahasia
rmh,rumah
ru,baru
ruko,rumahtoko
rusunawa,rumahsusunsewa
ruz,terus
saia,saya
salting,salahtingkah
sampe,sampai
sapose,siapa
satpam,satuanpengamanan
sbb,sebagaiberikut
sbh,sebuah
sbnrny,sebenarnya
scr,secara
sdgkn,sedangkan
sdkt,sedikit
se7,setuju
sebelasduabelas,mirip
sembako,sembilanbahanpokok
sempet,sempat
sendratari,senidramatari
sgt,sangat
shg,sehingga
siech,sih
sikon,situasidankondisi
sinetron,sinemaelektronik
siramin,siramkan
sj,saja
skalian,sekalian
sklh,sekolah
skt,sakit
slesai,selesai
sll,selalu
slma,selama
slsai,selesai
smpt,sempat
smw,semua
sndiri,sendiri
soljum,sholatjumat
songong,sombong
sory,maaf
sosek,sosial-ekonomi
sotoy,soktahu
spa,siapa
sppa,siapa
spt,seperti
srtfkt,sertifikat
stiap,setiap
stlh,setelah
suk,masuk
sumpek,sempit
syg,sayang
t4,tempat
tajir,kaya
tau,tahu
taw,tahu
td,tadi
tdk,tidak
teh,kakakperempuan
telat,terlambat
telmi,telatberpikir
temen,teman
tengil,menyebalkan
tepar,terkapar
tggu,tunggu
tgu,tunggu
thankz,terimakasih
thn,tahun
tilang,buktipelanggaran
tipiwan,TvOne
tks,terimakasih
tlp,telepon
tls,tulis
tmbah,tambah
tmen2,teman-teman
tmpah,tumpah
tmpt,tempat
tngu,tunggu
tnyta,ternyata
tokai,tai
toserba,tokoserbaada
trdhulu,terdahulu
trima,terimakasih
trm,terima
trs,terus
trutama,terutama
ts,penulis
tst,tahusamatahu
ttg,tentang
tuch,tuh
tuir,tua
tw,tahu
u,kamu
ud,sudah
udah,sudah
ujg,ujung
ul,ulangan
unyu,lucu
uplot,unggah
urang,saya
usah,perlu
valas,valutaasing
w/,dengan
wadir,wakildirektur
wamil,wajibmiliter
warkop,warungkopi
warteg,warungtegal
wat,buat
wkt,waktu
wtf,whatthefuck
xixixi,tertawa
ya,iya
yap,iya
yaudah,yasudah
yawdah,yasudah
yl,yanglain
yo,iya
yowes,yasudah
yup,iya
7an,tujuan
ababil,abglabil
acc,accord
adlah,adalah
adoh,aduh
aha,tertawa
aja,saja
ajj,saja
aka,dikenaljugasebagai
akko,aku
akku,aku
akyu,aku
aljasa,asaljadisaja
ama,sama
ambl,ambil
ank,anak
ap,apa
ape,apa
aplot,unggah
apva,apa
aqu,aku
asap,sesegeramungkin
aseek,asyik
asek,asyik
aseknya,asyiknya
asoy,asyik
astrojim,astagfirullahaladzim
ath,kalaubegitu
atuh,kalaubegitu
ava,avatar
aws,awas
ayang,sayang
ayok,ayo
bacot,banyakbicara
bales,balas
bangdes,pembangunandesa
bangkotan,tua
banpres,bantuanpresiden
bansarkas,bantuansaranakesehatan
bazis,"badanamal,zakat,infak,dansedekah"
bcoz,karena
beb,sayang
bejibun,banyak
belom,belum
bener,benar
ber2,berdua
berdikari,berdiridiataskakisendiri
beti,bedatipis
beut,banget
bgd,banget
bgs,bagus
bhubu,tidur
bimbuluh,bimbingandanpenyuluhan
bisi,kalau-kalau
bl,beli
blg,bilang
blm,belum
bls,balas
bnchi,benci
bngung,bingung
bnyk,banyak
bohay,badanaduhai
bokep,porno
bokin,pacar
bole,boleh
bolot,bodoh
bonyok,ayahibu
bpk,bapak
brb,segerakembali
brngkt,berangkat
brp,berapa
brur,saudaralaki-laki
bsa,bisa
daring,online
bu_bu,tidur
bubarin,bubarkan
buber,bukabersama
bujubune,luarbiasa
buser,burusergap
bwhn,bawahan
byar,bayar
byr,bayar
c8,chat
cabut,pergi
caem,cakep
cama-cama,sama-sama
cangcut,celanadalam
cape,lelah
caur,jelek
cekak,tidakadauang
cekidot,cobalihat
cemplungin,cemplungkan
ceper,pendek
ceu,kakakperempuan
cewe,cewek
cibuk,sibuk
cin,cinta
ciye,cie
