Title,Text1,Penulis1,Penulis2,Abstrak,KataKunci,Klasifikasi,Jenis,Subjek,Tahun,Penerbit
SISTEM PERINGATAN DINI GEMPA BUMI BERBASIS IOT DENGAN KOMUNIKASI LORA FAUZAN AZHIMA TASA,FAUZAN AZHIMA TASA,FAUZAN AZHIMA TASA,"Muhammad Ary Murti, Istiqomah","<p>Hasil penelitian Tugas Akhir ini menunjukkan bahwa penggunaan algoritma <em>Artificial Neural Network </em>dengan <em>hyperparameter input layer </em>menggunakan fungsi aktivasi <em>“sigmoid”, </em>menggunakan tiga <em>hidden layer </em>dengan masing-masing fungsi aktivasi <em>“tanh”, </em>dan menggunakan <em>output layer </em>dengan fungsi aktivasi <em>“sigmoid”. </em>Nilai akurasi <em>training </em>yang didapat sebesar 95,12% dan nilai akurasi validasi sebesar 94,10%. Model terbaik diimplementasikan pada perangkat yang dibuat. Hasil dari implementasi model, didapatkan nilai akurasi sebesar 86,67%. Hasil klasifikasi dikirimkan menggunakan konektivitas LoRa. Hasil pengujian LoRa memiliki nilai <em>delay </em>rata-rata 0,093 detik, RSSI rata-rata bernilai -83,1 dBm, dan nilai rata-rata SNR sebesar 10,59 dB.</p>",,006.31 - Machine Learning,Karya Ilmiah - Skripsi (S1) - Reference,"Machine Learning, Iot Networking Technology,",2023,"Universitas Telkom, S1 Teknik Elektro"
STUDI TENTANG KENDALI SATU SIKLUS PADA DIFFERENTIAL BUCK INVERTER (STUDY ON ONE CYCLE CONTROLLED DIFFERENTIAL BUCK INVERTER) MOHAMAD JEHAN FAJARI,MOHAMAD JEHAN FAJARI,MOHAMAD JEHAN FAJARI,"Irwan Purnama, Husneni Mukhtar",,,000 - General Works,Karya Ilmiah - Skripsi (S1) - Reference,Sistem Elektronika,2023,"Universitas Telkom, S1 Teknik Elektro"
USER INTERFACE ANALYSIS IN MOBILE BANKING APPLICATION USING DESIGN THINKING METHODS WITH USER SEGMENTS FOR ELDERLY OF PEKANABARU (STUDY CASE : BANK XYZ) TIARA  LASYA AZZARA,TIARA  LASYA AZZARA,TIARA  LASYA AZZARA,"Gede Agung Ary Wisudiawan, Aristyo Hadikusuma",,,"005.437 - User interfaces; graphical user interfaces, windowing programs",Karya Ilmiah - Skripsi (S1) - Reference,"Design User Interface, Mobile Application,",2023,"Universitas Telkom, S1 Teknologi Informasi"
ANALISA RISIKO PADA WEBSITE E-COMMERCE PT XYZ BERDASARKAN PENILAIAN KERENTANAN MENGGUNAKAN OWASP ZAP SYAVANA ALDREY NOORVIANDRA,SYAVANA ALDREY NOORVIANDRA,SYAVANA ALDREY NOORVIANDRA,"Muharman Lubis, Ahmad Almaarif","<p>Kata Kunci : Vulnerability Assessment, Analisa Risiko, Framework VAPT, Malware, Cyber Crime, Risk Assessment.</p>",,621.389 28 - Security Electronics,Karya Ilmiah - Skripsi (S1) - Reference,"Information Security Management- System Information, Security Engineering,",2023,"Universitas Telkom, S1 Sistem Informasi"
ANALISIS DAN PERANCANGAN ENTERPRISE ARCHITECTURE MENGGUNAKAN FRAMEWORK TOGAF ADM PADA PT. BERKAH  MANIS MAKMUR SYAH ADJI MUHAMAD YUSRON,SYAH ADJI MUHAMAD YUSRON,SYAH ADJI MUHAMAD YUSRON,"Falahah, Ryan Adhitya Nugraha","<p>Kata kunci: Enterprise Architecture, PT. Berkah Manis Makmur, application, information technology, TOGAF, marketing</p>",,720.47 - Architecture-Architecture and the environment,Karya Ilmiah - Skripsi (S1) - Reference,"Enterprise Application Development, Architecture-design And Planning,",2023,"Universitas Telkom, S1 Sistem Informasi"
ANALISIS PENERIMAAN PENGGUNA TERHADAP SISTEM ENTERPRISE RESOURCE PLANNING PADA DIVISI HUMAN RESOURCE MENGGUNAKAN EXTENDED TECHNOLOGY ACCEPTANCE MODEL 2 (TAM 2) (STUDI KASUS: PT. PP LONDON SUMATRA INDONESIA TBK.) AISYAH RAHMADILLA,AISYAH RAHMADILLA,AISYAH RAHMADILLA,"Warih Puspitasari, Taufik Nur Adi","<p><strong>Kata Kunci</strong> – ERP, SAP, <em>Human Resource</em>, TAM 2</p>",,"621.392 - System analysis and design, Computer architecture, Hardware description languages",Karya Ilmiah - Skripsi (S1) - Reference,"Systems Analysis-design Enterprise, Human Resources Development,",2023,"Universitas Telkom, S1 Sistem Informasi"
ANALISIS PENERIMAAN PENGGUNAAN SISTEM ENTERPRISE RESOURCE PLANNING PADA DIVISI HUMAN RESOURCE DENGAN MENGGUNAKAN METODE THEORY OF PLANNED BEHAVIOR JALIS KARIM AHMAD,JALIS KARIM AHMAD,JALIS KARIM AHMAD,"Warih Puspitasari, Taufik Nur Adi","<p><strong>Kata kunci </strong>– <em>ERP</em>,<em> SAP</em>,<em> Human Resource</em>, TPB</p>",,658.401 - Planning and Strategic Management,Karya Ilmiah - Skripsi (S1) - Reference,"Enterprise Resource Planning, Enterprise,",2023,"Universitas Telkom, S1 Sistem Informasi"
ANALISIS PRIORITAS PADA WEBSITE PT. XYZ BERDASARKAN PENILAI KERENTANAN MENGGUNAKAN BURP SUITE MUHAMMAD REZA MAULANA,MUHAMMAD REZA MAULANA,MUHAMMAD REZA MAULANA,"Muharman Lubis, Ahmad Almaarif","<p>Kata Kunci: Vulnerability Assesment, Ancaman, Kerentanan, Framework, Asset, Prioritas, Sumber Daya</p>",,005.372 - Information System-Research Method,Karya Ilmiah - Skripsi (S1) - Reference,"Information Security Management- System Information, Analisis, Website,",2023,"Universitas Telkom, S1 Sistem Informasi"
ANALISIS WALKTHROUGH PADA WEBSITE PT. XYZ BERDASARKAN PENILAIAN KERENTANAN MENGGUNAKAN NESSUS FIKI DZULFIQAR,FIKI DZULFIQAR,FIKI DZULFIQAR,"Muharman Lubis, Ahmad Almaarif",,,621.389 28 - Security Electronics,Karya Ilmiah - Skripsi (S1) - Reference,"Information Security Management- System Information, Website,",2023,"Universitas Telkom, S1 Sistem Informasi"
IMPLEMENTASI ALGORITMA C4.5 UNTUK KLASIFIKASI  PADA WILAYAH YANG MENERIMA VAKSIN COVID-19 DI  JAKARTA TIMUR ANANDA DELINA SINURAT,ANANDA DELINA SINURAT,ANANDA DELINA SINURAT,"Deden Witarsyah, Edi Sutoyo","<p>Kata Kunci: COVID-19, Vaksin, Klasifikasi, Algoritma C4.5, Jakarta Timu</p>",,006.312 - Data mining,Karya Ilmiah - Skripsi (S1) - Reference,"Data Mining, Algorithm,",2023,"Universitas Telkom, S1 Sistem Informasi"
IMPLEMENTASI ENTERPRISE ARCHITECTURE MENGGUNAKAN TOGAF-ADM  DALAM MENDUKUNG BISNIS PADA BIDANG APPAREL (Studi Kasus : PT.Orca Moto Indonesia) DESFARI ADITIAN ARIF,DESFARI ADITIAN ARIF,DESFARI ADITIAN ARIF,"Rokhman Fauzi, Widyatasha Agustika Nurtrisha","<p>Kata Kunci: Usaha Mikro Kecil dan Menengah, UMKM Apparel, Enterprise Architecture, Transformasi Digital, TOGAF ADM</p>",,720.47 - Architecture-Architecture and the environment,Karya Ilmiah - Skripsi (S1) - Reference,"Enterprise Application Development, Enterprise-architecture,",2023,"Universitas Telkom, S1 Sistem Informasi"
MEMBANGUN APLIKASI DIKLINIK MODUL HOME CARE BERBASIS WEB DENGAN FRAMEWORK LARAVEL PADA STARTUP BACKEND NABIL DIRHAM GHIFARY,NABIL DIRHAM GHIFARY,NABIL DIRHAM GHIFARY,"Nia Ambarsari, Tatang Mulyana",,,006.7 - Web Design,Karya Ilmiah - Skripsi (S1) - Reference,"Startup, Web  Design,",2023,"Universitas Telkom, S1 Sistem Informasi"
